Description,Sector,Industry,Exchange
KOTHARI FERMENTATION & BIOCHEM,Consumer Non-Durables,Food: Specialty/Candy,BSE
UNIVERSAL STARCH-CHEM ALLIED L,Consumer Non-Durables,Food: Specialty/Candy,BSE
AMBO AGRITEC LIMITED,Consumer Non-Durables,Food: Specialty/Candy,BSE
CCL PRODUCTS (INDIA) LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
IFB AGRO IND,Consumer Non-Durables,Beverages: Alcoholic,NSE
BRITANNIA INDUSTRIES LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
S. V. J. ENTERPRISES LIMITED,Consumer Non-Durables,Food: Major Diversified,BSE
KAYA LIMITED,Consumer Non-Durables,Household/Personal Care,BSE
FUTURE CONSUMER LTD,Consumer Non-Durables,Food: Major Diversified,NSE
MANBRO INDUSTRIES LIMITED,Consumer Non-Durables,Apparel/Footwear,BSE
BHARATIYA INTL LTD,Consumer Non-Durables,Consumer Sundries,NSE
LINC LTD,Consumer Non-Durables,Consumer Sundries,NSE
UMANG DAIRIES LTD.,Consumer Non-Durables,Food: Meat/Fish/Dairy,BSE
LOTUS CHOCOLATE CO.LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
VST INDUSTRIES LTD.,Consumer Non-Durables,Tobacco,BSE
T & I GLOBAL LTD.,Consumer Non-Durables,Food: Major Diversified,BSE
ANJANI FOODS LIMITED,Consumer Non-Durables,Food: Specialty/Candy,BSE
NITTA GELATIN INDIA LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
CAMPUS ACTIVEWEAR LIMITED,Consumer Non-Durables,Apparel/Footwear,BSE
IRIS CLOTHINGS LTD,Consumer Non-Durables,Apparel/Footwear,NSE
HINDUSTAN FOODS LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
NB FOOTWEAR LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
MANORAMA INDUSTRIES LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
MADHUR INDUSTRIES LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
MRS BECTORS FOOD SPE LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
GOPAL SNACKS LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
TAPI FRUIT PROCESS,Consumer Non-Durables,Food: Specialty/Candy,NSE
KAYA LTD,Consumer Non-Durables,Household/Personal Care,NSE
MIRZA INTERNATIONA,Consumer Non-Durables,Apparel/Footwear,NSE
TIRUPATI STARCH & CHEMICALS LT,Consumer Non-Durables,Food: Specialty/Candy,BSE
GRETEX INDUSTRIES,Consumer Non-Durables,Apparel/Footwear,NSE
GLOBUS SPIRITS LTD.,Consumer Non-Durables,Beverages: Alcoholic,BSE
PAGE INDUSTRIES LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
NTC INDUSTRIES LTD.,Consumer Non-Durables,Tobacco,BSE
LIBAS DESIGNS LTD,Consumer Non-Durables,Apparel/Footwear,NSE
JIWANRAM SHEODUTTR,Consumer Non-Durables,Apparel/Footwear,NSE
ANS INDUSTRIES LTD,Consumer Non-Durables,Food: Major Diversified,BSE
BOMBAY BURMAH,Consumer Non-Durables,Food: Major Diversified,NSE
VADILAL INDUSTRIES LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
FOODS & INNS LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
KEWEL KIRAN CLOTHI,Consumer Non-Durables,Apparel/Footwear,NSE
THE RAVALGAON SUGAR FARM LIMIT,Consumer Non-Durables,Food: Specialty/Candy,BSE
TRICOM FRUIT PRODUCTS LIMITED,Consumer Non-Durables,Food: Specialty/Candy,BSE
CUPID LTD(INDIA),Consumer Non-Durables,Household/Personal Care,NSE
GALAXY SURFACTANTS,Consumer Non-Durables,Household/Personal Care,NSE
UNITED SPIRITS,Consumer Non-Durables,Beverages: Alcoholic,NSE
SPECTRUM FOODS LTD.,Consumer Non-Durables,Food: Major Diversified,BSE
GULSHAN POLYOLS LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
HIGH STREET FILATEX LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
UNITED NILGIRI TEA,Consumer Non-Durables,Food: Specialty/Candy,NSE
PRIMA INDUSTRIES LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
NORBEN TEA & EXPORTS LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
APEX FROZEN FOODS LIMITED,Consumer Non-Durables,Food: Meat/Fish/Dairy,BSE
MIRZA INTERNATIONAL LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
PIONEER EMBROIDERIES LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
CCL PRODUCTS(IND),Consumer Non-Durables,Food: Specialty/Candy,NSE
LIBERTY SHOES LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
S.P. APPARELS LIMITED,Consumer Non-Durables,Apparel/Footwear,BSE
CUPID LTD.,Consumer Non-Durables,Household/Personal Care,BSE
TCNS CLOTHING CO. LIMITED,Consumer Non-Durables,Apparel/Footwear,BSE
TASTY BITE EATABLE,Consumer Non-Durables,Food: Specialty/Candy,NSE
SINNAR BIDI UDYOG LTD.,Consumer Non-Durables,Tobacco,BSE
PEARL GLOBAL INDUSTRIES LIMITE,Consumer Non-Durables,Apparel/Footwear,BSE
VIRAT INDUSTRIES LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
TATA CONSUMER PRODUCT LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
ADVANCED ENZYME TE,Consumer Non-Durables,Food: Specialty/Candy,NSE
HINDUSTAN UNILEVER LTD.,Consumer Non-Durables,Household/Personal Care,BSE
GILLANDERS ARBUTHN,Consumer Non-Durables,Food: Major Diversified,NSE
UMANG DAIRIES,Consumer Non-Durables,Food: Meat/Fish/Dairy,NSE
SUKHJIT STARCH & CHEM LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
SIGNORIA CREATION,Consumer Non-Durables,Apparel/Footwear,NSE
HATSUN AGRO PRODUCT LTD.,Consumer Non-Durables,Food: Meat/Fish/Dairy,BSE
BIKAJI FOODS INTERNATIONAL LIM,Consumer Non-Durables,Food: Specialty/Candy,BSE
PALASH SECURITIES,Consumer Non-Durables,Food: Specialty/Candy,NSE
MAWANA SUGARS LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
TILAKNAGAR INDUSTR,Consumer Non-Durables,Beverages: Alcoholic,NSE
VIDHI SPECIALTY FO,Consumer Non-Durables,Food: Specialty/Candy,NSE
SPENTA INTERNATIONAL LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
CEENIK EXPORTS (INDIA) LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
BHANDARI HOSIERY EXPORTS LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
TILAKNAGAR INDUSTRIES LTD.,Consumer Non-Durables,Beverages: Alcoholic,BSE
GALAXY SURFACTANTS LIMITED,Consumer Non-Durables,Household/Personal Care,BSE
UNITED BREWERIES LTD.,Consumer Non-Durables,Beverages: Alcoholic,BSE
PDS LIMITED,Consumer Non-Durables,Apparel/Footwear,BSE
SCOOBEE DAY GARMENTS (INDIA) L,Consumer Non-Durables,Apparel/Footwear,BSE
MONTE CARLO FASHIONS LIMITED,Consumer Non-Durables,Apparel/Footwear,BSE
S.P.APPARELS LTD,Consumer Non-Durables,Apparel/Footwear,NSE
GODREJ CONSUMER PR,Consumer Non-Durables,Household/Personal Care,NSE
PARAMOUNT COSMETICS (INDIA) LT,Consumer Non-Durables,Household/Personal Care,BSE
SHAH FOODS LTD.,Consumer Non-Durables,Food: Specialty/Candy,BSE
NORTHERN SPIRITS LIMITED,Consumer Non-Durables,Beverages: Alcoholic,BSE
YASHO INDUSTRIES LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
AURANGABAD DISTILL,Consumer Non-Durables,Beverages: Alcoholic,NSE
SHEETAL COOL PRODUCTS LIMITED,Consumer Non-Durables,Food: Meat/Fish/Dairy,BSE
DODLA DAIRY LTD,Consumer Non-Durables,Food: Meat/Fish/Dairy,NSE
KARNIKA INDUSTRIES,Consumer Non-Durables,Apparel/Footwear,NSE
SONALIS CONSUMER PRODUCTS LIMI,Consumer Non-Durables,Food: Specialty/Candy,BSE
AVEER FOODS LIMITED,Consumer Non-Durables,Food: Major Diversified,BSE
SCARNOSE INTERNATIONAL LIMITED,Consumer Non-Durables,Apparel/Footwear,BSE
ZENITH EXPORTS LTD.,Consumer Non-Durables,Apparel/Footwear,BSE
FOODS & INNS LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
SRIVARI SPICES,Consumer Non-Durables,Food: Specialty/Candy,NSE
HERITAGE FOODS LIMITED,Consumer Non-Durables,Food: Meat/Fish/Dairy,BSE
CANTABIL RETAIL IN,Consumer Non-Durables,Apparel/Footwear,NSE
GULSHAN POLYOLS LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
BODHI TREE MULTIMEDIA LIMITED,Consumer Services,Movies/Entertainment,BSE
ODYSSEY CORPORATION LTD.,Consumer Services,Movies/Entertainment,BSE
GV FILMS LTD.,Consumer Services,Movies/Entertainment,BSE
RAJ TELEVISION NETWORK LTD.,Consumer Services,Broadcasting,BSE
SAMBHAAV MEDIA LTD,Consumer Services,Publishing: Newspapers,NSE
INTERNATIONAL TRAVEL HOUSE LTD,Consumer Services,Other Consumer Services,BSE
SUN TV NETWORK LTD,Consumer Services,Broadcasting,NSE
CINEVISTA LTD.,Consumer Services,Movies/Entertainment,BSE
DIGIKORE STUDIOS L,Consumer Services,Movies/Entertainment,NSE
NICCO PARKS & RESORTS LTD.,Consumer Services,Movies/Entertainment,BSE
TGB BANQUETS AND HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
PARTY CRUISERS LTD,Consumer Services,Other Consumer Services,NSE
KOME-ON COMMUNICATION LIMITED,Consumer Services,Movies/Entertainment,BSE
MAHINDRA HOLIDAYS,Consumer Services,Other Consumer Services,NSE
TV VISION LTD,Consumer Services,Broadcasting,NSE
BODHI TREE MULTIMEDIA LTD,Consumer Services,Movies/Entertainment,NSE
S CHAND AND COMPAN,Consumer Services,Publishing: Books/Magazines,NSE
SAMHI HOTELS LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
DEVYANI INTERNATIONAL LTD,Consumer Services,Restaurants,NSE
PERFECT-OCTAVE MEDIA PROJECTS,Consumer Services,Broadcasting,BSE
MAHASAGAR TRAVELS LTD.,Consumer Services,Other Consumer Services,BSE
JAGRAN PRAKASHAN LTD.,Consumer Services,Publishing: Newspapers,BSE
CAREER POINT LTD,Consumer Services,Other Consumer Services,NSE
EIH LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
ZEE MEDIA CORP,Consumer Services,Broadcasting,NSE
GFL LTD,Consumer Services,Movies/Entertainment,NSE
DEVYANI INTERNATIONAL LIMITED,Consumer Services,Restaurants,BSE
TIPS FILMS LTD,Consumer Services,Movies/Entertainment,NSE
H.S.INDIA LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
SRI ADHIKARI BROS,Consumer Services,Movies/Entertainment,NSE
VISION CORPORATION LTD.,Consumer Services,Movies/Entertainment,BSE
RESTAURANT BRANDS ASIA LIMITED,Consumer Services,Restaurants,BSE
SINCLAIR HOTELS,Consumer Services,Hotels/Resorts/Cruise lines,NSE
BABA ARTS LTD.,Consumer Services,Movies/Entertainment,BSE
SHARPLINE BROADCAST LIMITED,Consumer Services,Broadcasting,BSE
VELS FILM INTERNAT,Consumer Services,Movies/Entertainment,NSE
PURPLE ENTERTAINMENT LIMITED,Consumer Services,Movies/Entertainment,BSE
TREE HOUSE EDUCATION & ACCESSO,Consumer Services,Other Consumer Services,BSE
INDIAN RAIL TOUR CORP LTD,Consumer Services,Other Consumer Services,NSE
TGB BANQUETS AND H,Consumer Services,Hotels/Resorts/Cruise lines,NSE
UNISTAR MULTIMEDIA LTD.,Consumer Services,Movies/Entertainment,BSE
ORIENTAL HOTELS,Consumer Services,Hotels/Resorts/Cruise lines,NSE
SAPPHIRE FOODS INDIA LTD,Consumer Services,Restaurants,NSE
KAMAT HOTELS (INDIA) LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
POLO HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
CREATIVE EYE LTD.,Consumer Services,Movies/Entertainment,BSE
CREATIVE EYE LTD,Consumer Services,Movies/Entertainment,NSE
CINEVISTA LTD,Consumer Services,Movies/Entertainment,NSE
SHEMAROO ENTERTAIN,Consumer Services,Movies/Entertainment,NSE
CAREER POINT LTD.,Consumer Services,Other Consumer Services,BSE
INDIA TOURISM DEV,Consumer Services,Hotels/Resorts/Cruise lines,NSE
INDIA TOURISM DEVELOPMENT CORP,Consumer Services,Hotels/Resorts/Cruise lines,BSE
SPECIALITY RESTAUR,Consumer Services,Restaurants,NSE
TV18 BROADCAST LTD,Consumer Services,Broadcasting,NSE
ASIAN HOTELS(NORTH,Consumer Services,Hotels/Resorts/Cruise lines,NSE
SPECIALITY RESTAURANTS LTD.,Consumer Services,Restaurants,BSE
TREE HOUSE EDUCATI,Consumer Services,Other Consumer Services,NSE
PARKHOTELS,Consumer Services,Hotels/Resorts/Cruise lines,NSE
BASILIC FLY STUDIO,Consumer Services,Movies/Entertainment,NSE
HT MEDIA LTD,Consumer Services,Publishing: Newspapers,NSE
CINERAD COMMUNICATIONS LTD.,Consumer Services,Movies/Entertainment,BSE
VIRTUAL GLOBAL EDUCATION LTD.,Consumer Services,Other Consumer Services,BSE
CHL LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
MPS LTD.,Consumer Services,Publishing: Books/Magazines,BSE
LEMON TREE HOTELS,Consumer Services,Hotels/Resorts/Cruise lines,NSE
SHEMAROO ENTERTAINMENT LIMITED,Consumer Services,Movies/Entertainment,BSE
CYBER MEDIA (INDIA) LTD.,Consumer Services,Publishing: Books/Magazines,BSE
ENTERTAINMENT NETW,Consumer Services,Broadcasting,NSE
PVR INOX LIMITED,Consumer Services,Movies/Entertainment,BSE
SITI NETWORKS LTD,Consumer Services,Cable/Satellite TV,NSE
UNIVERSAL ARTS LTD.,Consumer Services,Movies/Entertainment,BSE
EROS INTERNATIONAL MEDIA LTD.,Consumer Services,Movies/Entertainment,BSE
ESPIRE HOSPITALITY LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
CINELINE INDIA LIMITED,Consumer Services,Movies/Entertainment,BSE
WESTLIFE FOODWORLD LIMITED,Consumer Services,Restaurants,BSE
INSPIRE FILMS LIMI,Consumer Services,Movies/Entertainment,NSE
BAWEJA STUDIOS LTD,Consumer Services,Movies/Entertainment,NSE
AJWA FUN WORLD & RESORT LTD.,Consumer Services,Movies/Entertainment,BSE
SANDESH,Consumer Services,Publishing: Newspapers,NSE
SAREGAMA INDIA LTD.,Consumer Services,Movies/Entertainment,BSE
RAJ TEL NETWORK,Consumer Services,Broadcasting,NSE
EASY TRIP PLANNERS LIMITED,Consumer Services,Other Consumer Services,BSE
MAC HOTELS LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
PRIME FOCUS LTD.,Consumer Services,Movies/Entertainment,BSE
PRITISH NANDY COMMUNICATIONS L,Consumer Services,Movies/Entertainment,BSE
NEXT MEDIAWORKS LTD.,Consumer Services,Broadcasting,BSE
JUNIPER HOTELS LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
RADAAN MEDIAWORKS,Consumer Services,Movies/Entertainment,NSE
JINDAL HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
D B CORP LTD,Consumer Services,Publishing: Newspapers,BSE
BGIL FILMS & TECHNOLOGIES LTD.,Consumer Services,Movies/Entertainment,BSE
D B CORP LTD,Consumer Services,Publishing: Newspapers,NSE
VIDLI RESTAURANTS LIMITED,Consumer Services,Restaurants,BSE
MADHYA PRADESH TOD,Consumer Services,Publishing: Newspapers,NSE
PVR INOX LTD,Consumer Services,Movies/Entertainment,NSE
WONDERLA HOLIDAYS LTD,Consumer Services,Movies/Entertainment,BSE
WOODSVILLA LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
ASIAN HOTELS (EAST) LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
TV18 BROADCAST LTD.,Consumer Services,Broadcasting,BSE
ORTEL COMMUNICATIO,Consumer Services,Cable/Satellite TV,NSE
WESTLIFE DEVELOPMENT LTD,Consumer Services,Restaurants,NSE
JUBILANT FOODWORKS,Consumer Services,Restaurants,NSE
INFOMEDIA PRESS LI,Consumer Services,Publishing: Books/Magazines,NSE
MEDIAONE GLOBAL ENTERTAINMENT,Consumer Services,Movies/Entertainment,BSE
RAS RESORTS & APART HOTELS LTD,Consumer Services,Hotels/Resorts/Cruise lines,BSE
RELIABLE VENTURES INDIA LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
EASY TRIP PLANNERS LTD,Consumer Services,Other Consumer Services,NSE
EVANS ELECTRIC LIMITED,Consumer Services,Other Consumer Services,BSE
COUNTRY CLUB HOSPI,Consumer Services,Other Consumer Services,NSE
ENTERTAINMENT NETWORK (INDIA),Consumer Services,Broadcasting,BSE
VICEROY HOTELS LTD,Consumer Services,Hotels/Resorts/Cruise lines,NSE
MUSIC BROADCAST LIMITED,Consumer Services,Broadcasting,BSE
VELAN HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
TIPS INDUSTRIES,Consumer Services,Movies/Entertainment,NSE
INDRAYANI BIOTECH LTD.,Consumer Services,Restaurants,BSE
THE BYKE HOSPITALITY LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
IMAGICAAWORLD ENTERTAINMENT LI,Consumer Services,Movies/Entertainment,BSE
SDC TECHMEDIA LIMITED,Consumer Services,Movies/Entertainment,BSE
LEMON TREE HOTELS LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
BALAJI TELEFILMS,Consumer Services,Movies/Entertainment,NSE
GROWINGTON VENTURES INDIA LIMI,Consumer Services,Other Consumer Services,BSE
CYBER MEDIA (INDIA,Consumer Services,Publishing: Books/Magazines,NSE
HOWARD HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
WONDERLA HOLIDAYS,Consumer Services,Movies/Entertainment,NSE
SINCLAIRS HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
INFOMEDIA PRESS LTD.,Consumer Services,Publishing: Books/Magazines,BSE
ZEE LEARN LTD,Consumer Services,Other Consumer Services,NSE
JUBILANT FOODWORKS LTD,Consumer Services,Restaurants,BSE
U.P.HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
EMERALD LEISURES LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
YAAN ENTERPRISES LIMITED,Consumer Services,Other Consumer Services,BSE
TAJ GVK HOTELS,Consumer Services,Hotels/Resorts/Cruise lines,NSE
YATRA ONLINE LIMITED,Consumer Services,Other Consumer Services,BSE
SAPPHIRE FOODS INDIA LIMITED,Consumer Services,Restaurants,BSE
COLORCHIPS NEW MEDIA LIMITED,Consumer Services,Movies/Entertainment,BSE
TV TODAY NETWORK LTD.,Consumer Services,Broadcasting,BSE
HLV LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
SADHNA BROADCAST LTD,Consumer Services,Broadcasting,BSE
ORIENTAL HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
DELTA CORP LTD.,Consumer Services,Movies/Entertainment,BSE
ROBUST HOTELS LTD,Consumer Services,Hotels/Resorts/Cruise lines,NSE
VASHU BHAGNANI INDUSTRIES LIMI,Consumer Services,Movies/Entertainment,BSE
EROS INTL MEDIA,Consumer Services,Movies/Entertainment,NSE
INDIAN HOTELS CO.LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
MT EDUCARE LTD.,Consumer Services,Other Consumer Services,BSE
HINDUSTAN MEDIA VENTURES LTD.,Consumer Services,Publishing: Newspapers,BSE
COUNTRY CLUB HOSPITALITY AND H,Consumer Services,Other Consumer Services,BSE
NETWORK18 MEDIA & INVESTMENTS,Consumer Services,Broadcasting,BSE
MAHINDRA HOLIDAYS & RESORTS IN,Consumer Services,Other Consumer Services,BSE
VISION CINEMAS LTD.,Consumer Services,Movies/Entertainment,BSE
ROYAL ORCHID HOTEL,Consumer Services,Hotels/Resorts/Cruise lines,NSE
S CHAND AND COMPANY LIMITED,Consumer Services,Publishing: Books/Magazines,BSE
CITY PULSE MULTIPLEX LIMITED,Consumer Services,Movies/Entertainment,BSE
BOMBAY CYCLE & MOTOR AGENCY LT,Consumer Services,Other Consumer Services,BSE
DIKSAT TRANSWORLD LIMITED,Consumer Services,Movies/Entertainment,BSE
SUN TV NETWORK LTD.,Consumer Services,Broadcasting,BSE
ASIAN HOTELS (NORTH) LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
SAYAJI HOTELS (INDORE) LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
BEST EASTERN HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
TIPS FILMS LIMITED,Consumer Services,Movies/Entertainment,BSE
ARUNA HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
CINELINE INDIA LTD,Consumer Services,Movies/Entertainment,NSE
V R FILMS & STUDIOS LIMITED,Consumer Services,Movies/Entertainment,BSE
PERFECT INFRAENGIN,Consumer Services,Other Consumer Services,NSE
B.A.G. FILMS&MEDIA,Consumer Services,Broadcasting,NSE
SRI ADHIKARI BROTHERS TELEVISI,Consumer Services,Movies/Entertainment,BSE
PEARL GREEN CLUBS AND RESORTS,Consumer Services,Hotels/Resorts/Cruise lines,BSE
IMAGICAAWORLD ENT LTD,Consumer Services,Movies/Entertainment,NSE
HINDUSTAN MEDIA VE,Consumer Services,Publishing: Newspapers,NSE
ROYAL ORCHID HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
B.A.G.FILMS & MEDIA LTD.,Consumer Services,Broadcasting,BSE
TV VISION LIMITED,Consumer Services,Broadcasting,BSE
SHALIMAR PRODUCTIONS LTD.,Consumer Services,Movies/Entertainment,BSE
ORIENT TRADELINK LTD.,Consumer Services,Movies/Entertainment,BSE
PRIME FOCUS,Consumer Services,Movies/Entertainment,NSE
ZEE MEDIA CORPORATION LIMITED,Consumer Services,Broadcasting,BSE
INDIAN RAILWAY CATERING AND TO,Consumer Services,Other Consumer Services,BSE
GFL LIMITED,Consumer Services,Movies/Entertainment,BSE
PICTUREHOUSE MEDIA LTD.,Consumer Services,Movies/Entertainment,BSE
TV TODAY NETWORK,Consumer Services,Broadcasting,NSE
COFFEE DAY ENTERPRISES LIMITED,Consumer Services,Restaurants,BSE
TIPS INDUSTRIES LTD.,Consumer Services,Movies/Entertainment,BSE
EIH ASSOC HOTELS,Consumer Services,Hotels/Resorts/Cruise lines,NSE
NETWORK 18 MEDIA,Consumer Services,Broadcasting,NSE
SAYAJI HOTELS (PUNE) LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
INTERWORLD DIGITAL LTD.,Consumer Services,Movies/Entertainment,BSE
CHALET HOTELS LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
JETKING INFOTRAIN LTD.,Consumer Services,Other Consumer Services,BSE
NEXT MEDIAWORKS LTD,Consumer Services,Broadcasting,NSE
CINDRELLA HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
NDL VENTURES LTD,Consumer Services,Cable/Satellite TV,NSE
PRITISH NANDY COMM,Consumer Services,Movies/Entertainment,NSE
SILLY MONKS ENTERTAIN LTD,Consumer Services,Movies/Entertainment,NSE
HT MEDIA LTD.,Consumer Services,Publishing: Newspapers,BSE
HB ESTATE DEVELOPERS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
HATHWAY CABLE & DATACOM LTD,Consumer Services,Cable/Satellite TV,BSE
ROBUST HOTELS LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
PHANTOM DIGITAL EF,Consumer Services,Movies/Entertainment,NSE
ASIAN HOTELS (EAST,Consumer Services,Hotels/Resorts/Cruise lines,NSE
SEA TV NETWORK LTD.,Consumer Services,Broadcasting,BSE
BLUE COAST HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
VICEROY HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
BARBEQUE NATION HOSP. LTD,Consumer Services,Restaurants,NSE
DEN NETWORKS LTD,Consumer Services,Cable/Satellite TV,NSE
INDIAN HOTELS,Consumer Services,Hotels/Resorts/Cruise lines,NSE
ADVANI HOTELS & RE,Consumer Services,Hotels/Resorts/Cruise lines,NSE
SAYAJI HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
TAJGVK HOTELS & RESORTS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
PADMALAYA TELEFILMS LTD.,Consumer Services,Movies/Entertainment,BSE
COFFEE DAY ENTERPR,Consumer Services,Restaurants,NSE
DILIGENT MEDIA CORPORATION LIM,Consumer Services,Publishing: Newspapers,BSE
BALAJI TELEFILMS LTD.,Consumer Services,Movies/Entertainment,BSE
RESTAURANT BRAND ASIA LTD,Consumer Services,Restaurants,NSE
YATRA ONLINE LTD,Consumer Services,Other Consumer Services,NSE
LANDMARC LEISURE CORPORATION L,Consumer Services,Movies/Entertainment,BSE
RACONTEUR GLOBAL RESOURCES LIM,Consumer Services,Movies/Entertainment,BSE
APOLLO SINDOORI HO,Consumer Services,Hotels/Resorts/Cruise lines,NSE
EIH LTD,Consumer Services,Hotels/Resorts/Cruise lines,NSE
BARBEQUE-NATION HOSPITALITY LI,Consumer Services,Restaurants,BSE
GALAXY CLOUD KITCHENS LIMITED,Consumer Services,Restaurants,BSE
RADAAN MEDIAWORKS (I) LTD.,Consumer Services,Movies/Entertainment,BSE
DELTA CORP LTD,Consumer Services,Movies/Entertainment,NSE
SILVER PEARL HOSPITALITY & LUX,Consumer Services,Hotels/Resorts/Cruise lines,BSE
HATHWAY CABLE & DA,Consumer Services,Cable/Satellite TV,NSE
GRAVISS HOSPITALITY LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
ADVANI HOTELS & RESORTS (INDIA,Consumer Services,Hotels/Resorts/Cruise lines,BSE
HLV LTD,Consumer Services,Hotels/Resorts/Cruise lines,NSE
MUSIC BROADCAST,Consumer Services,Broadcasting,NSE
SAMHI HOTELS LTD,Consumer Services,Hotels/Resorts/Cruise lines,NSE
SANDESH LTD.,Consumer Services,Publishing: Newspapers,BSE
NDL VENTURES LIMITED,Consumer Services,Cable/Satellite TV,BSE
SAILANI TOURS N TRAVELS LIMITE,Consumer Services,Other Consumer Services,BSE
ORTEL COMMUNICATIONS LIMITED,Consumer Services,Cable/Satellite TV,BSE
DEN NETWORKS LTD,Consumer Services,Cable/Satellite TV,BSE
SANGHVI BRANDS LIMITED,Consumer Services,Other Consumer Services,BSE
UFO MOVIEZ INDIA LIMITED,Consumer Services,Movies/Entertainment,BSE
LORDS ISHWAR HOTELS LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
THE BYKE HOSPITALI,Consumer Services,Hotels/Resorts/Cruise lines,NSE
EIH ASSOCIATED HOTELS LTD.,Consumer Services,Hotels/Resorts/Cruise lines,BSE
PECOS HOTELS AND PUBS LIMITED,Consumer Services,Hotels/Resorts/Cruise lines,BSE
JAGRAN PRAKASHAN L,Consumer Services,Publishing: Newspapers,NSE
EPUJA SPIRITECH LIMITED,Consumer Services,Movies/Entertainment,BSE
VJTF EDUSERVICES LTD.,Consumer Services,Other Consumer Services,BSE
MT EDUCARE LTD,Consumer Services,Other Consumer Services,NSE
